Time (Month);Avg. parcels per APL per month : S2;Avg. purchase per month : S2;E-shopper share : S2;E-shoppers growth rate : S2;Potential e-customers : S2;APL market growth rate : S2;APL market share : S2;APL users : S2;Market Size : S2;Number of APLs : S2;Number of deliveries : S2;Online purchase growth rate : S2;Population : S2;Population growth rate : S2;Purchases per month : S2
19;6000;5;0.63;0.000833333;84046.8;0.00166667;0.19;16212;132979;13;83626;0.00166667;131316;0.000666667;5.15833
20;6000;5;0.63;0.000833333;84116.6;0.00166667;0.19;16238;133067;13;83896;0.00166667;131316;0.000666667;5.16667
21;6000;5;0.63;0.000833333;84186.5;0.00166667;0.19;16264;133154;14;84166;0.00166667;131316;0.000666667;5.175
22;6000;5;0.63;0.000833333;84256.4;0.00166667;0.19;16290;133242;14;84436;0.00166667;131316;0.000666667;5.18333
23;6000;5;0.63;0.000833333;84326.4;0.00166667;0.19;16316;133330;14;84707;0.00166667;131316;0.000666667;5.19167
24;6000;5;0.63;0.000833333;84396.3;0.00166667;0.19;16342;133417;14;84978;0.00166667;131316;0.000666667;5.2
25;6000;5;0.63;0.000833333;84466.4;0.00166667;0.19;16368;133505;14;85249;0.00166667;131316;0.000666667;5.20833
26;6000;5;0.63;0.000833333;84536.5;0.00166667;0.19;16394;133592;14;85522;0.00166667;131316;0.000666667;5.21667
27;6000;5;0.63;0.000833333;84606.6;0.00166667;0.19;16420;133680;14;85794;0.00166667;131316;0.000666667;5.225
28;6000;5;0.63;0.000833333;84676.8;0.00166667;0.19;16446;133767;14;86067;0.00166667;131316;0.000666667;5.23333
29;6000;5;0.63;0.000833333;84747;0.00166667;0.19;16472;133855;14;86340;0.00166667;131316;0.000666667;5.24167
30;6000;5;0.63;0.000833333;84817.3;0.00166667;0.19;16498;133942;14;86614;0.00166667;131316;0.000666667;5.25
31;6000;5;0.63;0.000833333;84887.6;0.00166667;0.19;16524;134030;14;86888;0.00166667;131316;0.000666667;5.25833
32;6000;5;0.63;0.000833333;84958;0.00166667;0.19;16550;134117;14;87163;0.00166667;131316;0.000666667;5.26667
33;6000;5;0.63;0.000833333;85028.4;0.00166667;0.19;16576;134205;14;87438;0.00166667;131316;0.000666667;5.275
34;6000;5;0.63;0.000833333;85098.9;0.00166667;0.19;16602;134292;14;87713;0.00166667;131316;0.000666667;5.28333
35;6000;5;0.63;0.000833333;85169.4;0.00166667;0.19;16628;134380;14;87989;0.00166667;131316;0.000666667;5.29167
36;6000;5;0.63;0.000833333;85239.9;0.00166667;0.19;16654;134468;14;88266;0.00166667;131316;0.000666667;5.3
37;6000;5;0.63;0.000833333;85310.5;0.00166667;0.19;16680;134555;14;88542;0.00166667;131316;0.000666667;5.30833
38;6000;5;0.63;0.000833333;85381.1;0.00166667;0.19;16707;134643;14;88825;0.00166667;131316;0.000666667;5.31667
39;6000;5;0.63;0.000833333;85451.8;0.00166667;0.19;16734;134730;14;89108;0.00166667;131316;0.000666667;5.325
40;6000;5;0.63;0.000833333;85522.6;0.00166667;0.19;16761;134818;14;89391;0.00166667;131316;0.000666667;5.33333
41;6000;5;0.63;0.000833333;85593.3;0.00166667;0.19;16788;134905;14;89675;0.00166667;131316;0.000666667;5.34167
42;6000;5;0.63;0.000833333;85664.2;0.00166667;0.19;16815;134993;14;89960;0.00166667;131316;0.000666667;5.35
43;6000;5;0.63;0.000833333;85735;0.00166667;0.19;16842;135080;15;90245;0.00166667;131316;0.000666667;5.35833
44;6000;5;0.63;0.000833333;85806;0.00166667;0.19;16869;135168;15;90530;0.00166667;131316;0.000666667;5.36667
45;6000;5;0.63;0.000833333;85876.9;0.00166667;0.19;16896;135255;15;90815;0.00166667;131316;0.000666667;5.375
46;6000;5;0.63;0.000833333;85947.9;0.00166667;0.19;16923;135343;15;91102;0.00166667;131316;0.000666667;5.38333
47;6000;5;0.63;0.000833333;86019;0.00166667;0.19;16950;135431;15;91388;0.00166667;131316;0.000666667;5.39167
48;6000;5;0.63;0.000833333;86090.1;0.00166667;0.19;16977;135518;15;91675;0.00166667;131316;0.000666667;5.4
49;6000;5;0.63;0.000833333;86161.2;0.00166667;0.19;17004;135606;15;91963;0.00166667;131316;0.000666667;5.40833
50;6000;5;0.63;0.000833333;86232.4;0.00166667;0.19;17031;135693;15;92251;0.00166667;131316;0.000666667;5.41667
51;6000;5;0.63;0.000833333;86303.7;0.00166667;0.19;17058;135781;15;92539;0.00166667;131316;0.000666667;5.425
52;6000;5;0.63;0.000833333;86375;0.00166667;0.19;17085;135868;15;92828;0.00166667;131316;0.000666667;5.43333
53;6000;5;0.63;0.000833333;86446.3;0.00166667;0.19;17112;135956;15;93117;0.00166667;131316;0.000666667;5.44167
54;6000;5;0.63;0.000833333;86517.7;0.00166667;0.19;17139;136043;15;93407;0.00166667;131316;0.000666667;5.45
55;6000;5;0.63;0.000833333;86589.1;0.00166667;0.19;17166;136131;15;93697;0.00166667;131316;0.000666667;5.45833
56;6000;5;0.63;0.000833333;86660.5;0.00166667;0.19;17193;136218;15;93988;0.00166667;131316;0.000666667;5.46667
57;6000;5;0.63;0.000833333;86732.1;0.00166667;0.19;17220;136306;15;94279;0.00166667;131316;0.000666667;5.475
58;6000;5;0.63;0.000833333;86803.6;0.00166667;0.19;17247;136394;15;94571;0.00166667;131316;0.000666667;5.48333
59;6000;5;0.63;0.000833333;86875.2;0.00166667;0.19;17274;136481;15;94863;0.00166667;131316;0.000666667;5.49167
60;6000;5;0.63;0.000833333;86946.9;0.00166667;0.19;17301;136569;15;95155;0.00166667;131316;0.000666667;5.5
61;6000;5;0.63;0.000833333;87018.6;0.00166667;0.19;17328;136656;15;95448;0.00166667;131316;0.000666667;5.50833
62;6000;5;0.63;0.000833333;87090.3;0.00166667;0.19;17355;136744;15;95741;0.00166667;131316;0.000666667;5.51667
63;6000;5;0.63;0.000833333;87162.1;0.00166667;0.19;17382;136831;16;96035;0.00166667;131316;0.000666667;5.525
64;6000;5;0.63;0.000833333;87234;0.00166667;0.19;17409;136919;16;96329;0.00166667;131316;0.000666667;5.53333
65;6000;5;0.63;0.000833333;87305.8;0.00166667;0.19;17436;137006;16;96624;0.00166667;131316;0.000666667;5.54167
66;6000;5;0.63;0.000833333;87377.8;0.00166667;0.19;17463;137094;16;96919;0.00166667;131316;0.000666667;5.55
67;6000;5;0.63;0.000833333;87449.7;0.00166667;0.19;17490;137181;16;97215;0.00166667;131316;0.000666667;5.55833
68;6000;5;0.63;0.000833333;87521.8;0.00166667;0.19;17517;137269;16;97511;0.00166667;131316;0.000666667;5.56667
69;6000;5;0.63;0.000833333;87593.8;0.00166667;0.19;17544;137357;16;97807;0.00166667;131316;0.000666667;5.575
70;6000;5;0.63;0.000833333;87665.9;0.00166667;0.19;17571;137444;16;98104;0.00166667;131316;0.000666667;5.58333
71;6000;5;0.63;0.000833333;87738.1;0.00166667;0.19;17598;137532;16;98402;0.00166667;131316;0.000666667;5.59167
72;6000;5;0.63;0.000833333;87810.3;0.00166667;0.19;17625;137619;16;98699;0.00166667;131316;0.000666667;5.6
73;6000;5;0.63;0.000833333;87882.5;0.00166667;0.19;17652;137707;16;98998;0.00166667;131316;0.000666667;5.60833
74;6000;5;0.63;0.000833333;87954.8;0.00166667;0.19;17679;137794;16;99297;0.00166667;131316;0.000666667;5.61667
75;6000;5;0.63;0.000833333;88027.2;0.00166667;0.19;17706;137882;16;99596;0.00166667;131316;0.000666667;5.625
76;6000;5;0.63;0.000833333;88099.6;0.00166667;0.19;17733;137969;16;99895;0.00166667;131316;0.000666667;5.63333
77;6000;5;0.63;0.000833333;88172;0.00166667;0.19;17760;138057;16;100195;0.00166667;131316;0.000666667;5.64167
78;6000;5;0.63;0.000833333;88244.5;0.00166667;0.19;17787;138144;16;100496;0.00166667;131316;0.000666667;5.65
79;6000;5;0.63;0.000833333;88317;0.00166667;0.19;17814;138232;16;100797;0.00166667;131316;0.000666667;5.65833
80;6000;5;0.63;0.000833333;88389.6;0.00166667;0.19;17841;138320;16;101098;0.00166667;131316;0.000666667;5.66667
81;6000;5;0.63;0.000833333;88462.2;0.00166667;0.19;17868;138407;16;101400;0.00166667;131316;0.000666667;5.675
82;6000;5;0.63;0.000833333;88534.9;0.00166667;0.19;17896;138495;16;101708;0.00166667;131316;0.000666667;5.68333
83;6000;5;0.63;0.000833333;88607.6;0.00166667;0.19;17924;138582;17;102017;0.00166667;131316;0.000666667;5.69167
84;6000;5;0.63;0.000833333;88680.3;0.00166667;0.19;17952;138670;17;102326;0.00166667;131316;0.000666667;5.7
85;6000;5;0.63;0.000833333;88753.1;0.00166667;0.19;17980;138757;17;102635;0.00166667;131316;0.000666667;5.70833
86;6000;5;0.63;0.000833333;88826;0.00166667;0.19;18008;138845;17;102945;0.00166667;131316;0.000666667;5.71667
87;6000;5;0.63;0.000833333;88898.9;0.00166667;0.19;18036;138932;17;103256;0.00166667;131316;0.000666667;5.725
88;6000;5;0.63;0.000833333;88971.8;0.00166667;0.19;18064;139020;17;103566;0.00166667;131316;0.000666667;5.73333
89;6000;5;0.63;0.000833333;89044.8;0.00166667;0.19;18092;139107;17;103878;0.00166667;131316;0.000666667;5.74167
90;6000;5;0.63;0.000833333;89117.8;0.00166667;0.19;18120;139195;17;104189;0.00166667;131316;0.000666667;5.75
91;6000;5;0.63;0.000833333;89190.9;0.00166667;0.19;18148;139282;17;104502;0.00166667;131316;0.000666667;5.75833
92;6000;5;0.63;0.000833333;89264;0.00166667;0.19;18176;139370;17;104814;0.00166667;131316;0.000666667;5.76667
93;6000;5;0.63;0.000833333;89337.2;0.00166667;0.19;18204;139458;17;105128;0.00166667;131316;0.000666667;5.775
94;6000;5;0.63;0.000833333;89410.4;0.00166667;0.19;18232;139545;17;105441;0.00166667;131316;0.000666667;5.78333
95;6000;5;0.63;0.000833333;89483.7;0.00166667;0.19;18260;139633;17;105755;0.00166667;131316;0.000666667;5.79167
96;6000;5;0.63;0.000833333;89557;0.00166667;0.19;18288;139720;17;106070;0.00166667;131316;0.000666667;5.8
97;6000;5;0.63;0.000833333;89630.3;0.00166667;0.19;18316;139808;17;106385;0.00166667;131316;0.000666667;5.80833
98;6000;5;0.63;0.000833333;89703.7;0.00166667;0.19;18344;139895;17;106700;0.00166667;131316;0.000666667;5.81667
99;6000;5;0.63;0.000833333;89777.2;0.00166667;0.19;18372;139983;17;107016;0.00166667;131316;0.000666667;5.825
100;6000;5;0.63;0.000833333;89850.7;0.00166667;0.19;18400;140070;17;107333;0.00166667;131316;0.000666667;5.83333
101;6000;5;0.63;0.000833333;89924.2;0.00166667;0.19;18428;140158;17;107650;0.00166667;131316;0.000666667;5.84167
102;6000;5;0.63;0.000833333;89997.8;0.00166667;0.19;18456;140245;17;107967;0.00166667;131316;0.000666667;5.85
103;6000;5;0.63;0.000833333;90071.4;0.00166667;0.19;18484;140333;18;108285;0.00166667;131316;0.000666667;5.85833
104;6000;5;0.63;0.000833333;90145.1;0.00166667;0.19;18512;140421;18;108603;0.00166667;131316;0.000666667;5.86667
105;6000;5;0.63;0.000833333;90218.8;0.00166667;0.19;18540;140508;18;108922;0.00166667;131316;0.000666667;5.875
106;6000;5;0.63;0.000833333;90292.6;0.00166667;0.19;18568;140596;18;109241;0.00166667;131316;0.000666667;5.88333
107;6000;5;0.63;0.000833333;90366.4;0.00166667;0.19;18596;140683;18;109561;0.00166667;131316;0.000666667;5.89167
108;6000;5;0.63;0.000833333;90440.3;0.00166667;0.19;18624;140771;18;109881;0.00166667;131316;0.000666667;5.9
109;6000;5;0.63;0.000833333;90514.2;0.00166667;0.19;18652;140858;18;110202;0.00166667;131316;0.000666667;5.90833
110;6000;5;0.63;0.000833333;90588.1;0.00166667;0.19;18680;140946;18;110523;0.00166667;131316;0.000666667;5.91667
111;6000;5;0.63;0.000833333;90662.1;0.00166667;0.19;18708;141033;18;110844;0.00166667;131316;0.000666667;5.925
112;6000;5;0.63;0.000833333;90736.1;0.00166667;0.19;18736;141121;18;111166;0.00166667;131316;0.000666667;5.93333
113;6000;5;0.63;0.000833333;90810.2;0.00166667;0.19;18764;141208;18;111489;0.00166667;131316;0.000666667;5.94167
114;6000;5;0.63;0.000833333;90884.4;0.00166667;0.19;18792;141296;18;111812;0.00166667;131316;0.000666667;5.95
115;6000;5;0.63;0.000833333;90958.6;0.00166667;0.19;18820;141384;18;112135;0.00166667;131316;0.000666667;5.95833
116;6000;5;0.63;0.000833333;91032.8;0.00166667;0.19;18848;141471;18;112459;0.00166667;131316;0.000666667;5.96667
117;6000;5;0.63;0.000833333;91107.1;0.00166667;0.19;18876;141559;18;112784;0.00166667;131316;0.000666667;5.975
118;6000;5;0.63;0.000833333;91181.4;0.00166667;0.19;18904;141646;18;113108;0.00166667;131316;0.000666667;5.98333
119;6000;5;0.63;0.000833333;91255.7;0.00166667;0.19;18932;141734;18;113434;0.00166667;131316;0.000666667;5.99167
120;6000;5;0.63;0.000833333;91330.1;0.00166667;0.19;18960;141821;18;113759;0.00166667;131316;0.000666667;6
